"SPECIE","SPECIE_NAME"
"M_c81crn_c","Octenoyl Carnitine"
"M_m00315c","12,15,18,21-tetracosatetraenoic acid"
"M_m00448c","1-acylglycerol-3P-13-octade"
"M_m02976c","tetradecenoylcarnitine(9)"
"M_m00578m","2,6-dimethyl-trans-2-heptenoyl-CoA"
"M_m02842c","riboflavin"
"M_m01644c","dCMP"
"M_m01777c","eicosenoylcarnitine(9)"
"M_m01511c","cholesterol-STAR"
"M_m03074c","tRNA(lys)"
"M_ileasnhis_c","Isoleucyl-Asparaginyl-Histidine"
"M_m00445c","1-acylglycerol-3P-13,16-docosa"
"M_m02975c","tetradecenoylcarnitine(7)"
"M_m00312c","12,13-epoxy-9-hydroperoxy-(10E)-octadecenoate"
"M_m02841c","ribitol"
"M_CE5122_c","3(S)-Phytanoyl Coenzyme A"
"M_6melvacid_c","6'-exomethylene-lovastatin-acid form"
"M_m01776c","eicosenoylcarnitine(7)"
"M_m01643c","dCDP"
"M_m03073c","tRNA(leu)"
"M_m01510l","cholesterol-ester-tridec"
"M_m00579c","20alpha,22beta dihydroxycholesterol"
"M_m00313c","12,13-epoxylinoleic acid-radical"
"M_m00446c","1-acylglycerol-3P-13-docose"
"M_pepalm_hs_c","1-Palmitoylglycerophosphoethanolamine"
"M_m02974c","tetradecenoylcarnitine(5)"
"M_m02840c","rhodopsin"
"M_m01642c","dATP"
"M_m01775c","eicosenoylcarnitine(11)"
"M_m03072c","tRNA(ile)"
"M_m00576c","2,5-dihydroxybenzoate"
"M_m00443c","1-acylglycerol-3P-12,15,18,21-tetra"
"M_m02973c","tetradecanoylcarnitine"
"M_m00310c","12,13-epoxy-(6Z,9Z)-octadecadienoic acid"
"M_am4ncs_c","AM4N (cyclosporine)"
"M_m01774c","eicosatrienoylcarnitine"
"M_m01641c","D-aspartate"
"M_m03071c","tRNA(his)"
"M_m00311c","12,13-epoxy-9-alkoxy-(10E)-octadecenoate"
"M_m00444c","1-acylglycerol-3P-13,16,19-doco"
"M_m00577c","2,6-dimethylheptanoyl-carnitine"
"M_m02972c","tetradecanoyl-[ACP]"
"M_pectintchol_s","Pectin-Taurocholic Acid Complex"
"M_aspglu_c","Aspartyl-Glutamate"
"M_m03070c","tRNA(gly)"
"M_m01640c","D-arginine"
"M_m01773c","eicosanoyl-CoA"
"M_CN0017_c","Dibenzo[A,L]Pyrene-11,12-Epoxide"
"M_m00441c","1-acylglycerol-3P-11-docose"
"M_alkylR1oh_p","Hydroxy Alkyl Chain"
"M_m02971c","tetracosanoyl-CoA"
"M_m00574c","2,5-diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)-amino-4-oxopyrimidine"
"M_m01772c","eicosanoylcarnitine"
"M_3hpvstetcoa_c","3'-S-hydroxy-pravastatin-tetranor-CoA"
"M_5cysgly34dhphe_s","5-S-Cysteinylglycine Dopa"
"M_m00575c","2,5-diaminopyrimidine nucleoside triphosphate"
"M_m00442c","1-acylglycerol-3P-11-eico"
"M_m02970c","tetracosanoylcarnitine"
"M_proargcys_c","Prolyl-Arginyl-Cysteine"
"M_m01771c","eicosanoate"
"M_m00572c","2,3-diketo-5-methylthiopentyl-1-phosphate"
"M_lystrparg_c","Lysyl-Tryptophanyl-Arginine"
"M_m02229g","keratan sulfate I biosynthesis, precursor 35"
"M_m01770c","eicosadienoylcarnitine"
"M_m00440c","1-acylglycerol-3P-11,14-eicosa"
"M_m00573c","2,3-diketo-L-gulonate"
"M_m02228g","keratan sulfate I biosynthesis, precursor 34"
"M_m00570c","2,3-cyclic-UMP"
"M_maglinl_hs_s","1-Linoleoylglycerol"
"M_m01029c","4-oxo-9-cis-retinoate"
"M_lysvalphe_c","Lysyl-Valyl-Phenylalanine"
"M_m02227g","keratan sulfate I biosynthesis, precursor 33"
"M_m00571c","2,3-dihydro-2-S-glutathionyl-3-hydroxy bromobenzene"
"M_m02226g","keratan sulfate I biosynthesis, precursor 32"
"M_m02359c","L-erythrulose"
"M_m00929c","4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol"
"M_m01027c","4-oxo-2-nonenal"
"M_m02225g","keratan sulfate I biosynthesis, precursor 31"
"M_m02358c","L-erythro-4-hydroxyglutamate"
"M_m01028c","4-oxo-9-cis-retinal"
"M_xolest182_hs_c","1-Linoleoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12)"
"M_m02357c","lepidimoide"
"M_valtrpval_c","Valyl-Tryptophanyl-Valine"
"M_m01025c","4-oxo-1-(3-pyridyl)-1-butanone"
"M_m00926c","4-(2-aminophenyl)-2,4-dioxobutanoate"
"M_m01158c","6beta-hydroxytestosterone"
"M_m02224g","keratan sulfate I biosynthesis, precursor 30"
"M_glz_c","Gliclazide"
"M_m02356c","L-dopaquinone"
"M_m02489c","monodehydroascorbate"
"M_ileglyarg_c","Isolecyl-Glycyl-Arginine"
"M_m00928c","4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide"
"M_gluasnleu_c","Glutaminyl-Asparaginyl-Leucine"
"M_m00927c","4-(methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone"
"M_m01159c","6-deoxy-L-galactose"
"M_m01026c","4-oxo-13-cis-retinoate"
"M_m02223g","keratan sulfate I biosynthesis, precursor 3"
"M_m02355c","L-dopachrome"
"M_m02488c","molybdopterin"
"M_m00924c","4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate"
"M_m01289c","ADP-ribose-2-phosphate"
"M_m01023c","4-OH-9-cis-retinal"
"M_m01156c","6-[2,3-dihydroxy-1-(hydroxymethyl)propyl]-1,2-dihydro-7-hydroxy-9-methoxy-cyclopenta[c][1]benzopyran-3,4-dione"
"M_m02222g","keratan sulfate I biosynthesis, precursor 29"
"M_m02487c","mitothioredoxin"
"M_m02354c","L-dopa"
"M_m01157p","6-amino-2-oxohexanoate"
"M_m01024c","4-OH-retinal"
"M_hismetgln_c","Histidyl-Methionyl-Glutamine"
"M_m00925c","4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid-O-glucoside"
"M_m02221g","keratan sulfate I biosynthesis, precursor 28"
"M_m01021c","4-nitrophenyl-sulfate"
"M_m01287c","ADP-mannose"
"M_m01154c","6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline"
"M_m02353r","LDL"
"M_m02486m","mitooxidized thioredoxin"
"M_m00922c","3-ureidoisobutyrate"
"M_m00089m","(3Z,7Z,10Z)-hexadecatrienoyl-CoA"
"M_m02220g","keratan sulfate I biosynthesis, precursor 27"
"M_alahisala_c","Alanyl-Histidyl-Alanine"
"M_cysglnmet_c","Cystyl-Glutaminyl-Methionine"
"M_m01020s","4-nitrophenyl-phosphate"
"M_m02485c","mitoApo-[ACP]"
"M_m01155c","6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin"
"M_m01022c","4-OH-13-cis-retinal"
"M_m01288c","ADP-ribose"
"M_m02352l","LDL remnant"
"M_m00923c","3-ureidopropionate"
"M_m00087c","(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA"
"M_m02483r","mgacpail heparan sulfate"
"M_m01285c","ADP"
"M_m01152c","6,7-dihydro-5-oxo-LTB4"
"M_C01264_c","1-Alkyl-2-Acetyl-Sn-Glycerol 3-Phosphate"
"M_m00920c","3-sulfopyruvate"
"M_m02484m","mitoACP"
"M_magpalm_hs_s","1-Palmitoylglycerol"
"M_m02351c","L-cysteinyl-tRNA(cys)"
"M_thyochol_c","Taurohyocholic acid; N-(3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oyl)taurine"
"M_ethmalac_c","Ethylmalonic Acid"
"M_m01153c","6,7-dihydro-LTB4"
"M_m01286c","ADP-glucose"
"M_hepcoa_m","Heptanoyl Coenzyme A"
"M_gumdchac_s","Guar Gum-Deoxyxholic Acid Complex"
"M_m00921c","3-UMP"
"M_m00088m","(3Z)-dodecenoyl-CoA"
"M_m02350c","L-cysteate"
"M_m01283c","adenylyl sulfate"
"M_m01150c","6,7-dihydro-12-epi-LTB4"
"M_c101crn_c","Decenoyl Carnitine"
"M_m02709c","peptidylproline-(omega=0)"
"M_3ohsebac_c","3-Hydroxy-Sebacic Acid"
"M_asplyshis_c","Aspartyl-Lysyl-Histidine"
"M_m00085c","(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA"
"M_m02482c","Mg2+"
"M_pcholn261_hs_c","Lysopc A C26:1 (Delta 5)"
"M_m01151c","6,7-dihydro-5-oxo-12-epi-LTB4"
"M_m02708c","peptidyl-L-lysyl-peptide"
"M_m01284c","adenylylselenate"
"M_etfrd_m","Electron Transfer Flavoprotein Reduced"
"M_m02481c","methylthioribose-1p"
"M_m00086c","(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA"
"M_tetdece1crn_c","Tetradecenoyl Carnitine"
"M_m01281c","adenylated molybdopterin"
"M_m01509l","cholesterol-ester-trico"
"M_m02707c","peptidylglycine"
"M_thsacmp_c","thiomethyl-sulphoxide-conjugate-acetaminophen"
"M_m02480c","methylmalonyl-CoA"
"M_m00083c","(3S)-3-hydroxylinoleoyl-CoA"
"M_m01508l","cholesterol-ester-tetraco"
"M_m02706c","peptidylamidoglycolate"
"M_m01282c","adenylosuccinate"
"M_m02839c","reverse triiodthyronine"
"M_mhglz_c","Methyl-hydroxy-gliclazide"
"M_m00084m","(3S)-citramalyl-CoA"
"M_3octdectecoa_m","3,6,9,12-Octadecatetraenoyl Coenzyme A"
"M_achom_L_c","Acetylhomoserine"
"M_m02705c","peptidyl-allysyl-peptide"
"M_m00080p","(2S,6R,10R)-trimethyl-hendecanoyl-CoA"
"M_m01507l","cholesterol-ester-stea"
"M_m02838c","retinyl-ester"
"M_m00308c","12(S)-HHT"
"M_m00081c","(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA"
"M_adpoh_c","2-Hydroxyadipic Acid"
"M_m01639c","dAMP"
"M_m02704c","peptide-L-methionine"
"M_m01280c","adenosine"
"M_m01506l","cholesterol-ester-penta"
"M_m00309c","12(S)-HPETE"
"M_m03069c","tRNA(glu)"
"M_m02837s","retinyl palmitate"
"M_m00082c","(3S)-3-hydroxydodec-cis-6-enoyl-CoA"
"M_m01638c","D-alanine"
"M_m02703c","peptide-L-methionine-(S)-S-oxide"
"M_m02836c","retinoyl-glucuronide"
"M_m01505l","cholesterol-ester-palmn"
"M_m00306c","12(R)-HPETE"
"M_m02969c","testosterone"
"M_m00439c","1-acylglycerol-3P-11,14,17-eico"
"M_m03068c","tRNA(gln)"
"M_am9csa_c","AM9 (cyclosporine)"
"M_phephethr_c","Phenylalanyl-Phenylalaninyl-Threonine"
"M_m01637c","dADP"
"M_m01504c","cholesterol-ester-palm"
"M_m02702c","peptide-L-aspartate"
"M_m02835c","retinoyl-CoA"
"M_m03067c","tRNA(cys)"
"M_4hatvlac_c","4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone"
"M_m00307c","12(S)-HETE"
"M_m02968c","testosterone sulfate"
"M_peste_hs_c","1-Stearoylglycerophosphoethanolamine"
"M_m01769c","eicosa-(2E,8Z,11Z,14Z,17Z)-pentaenoyl-CoA"
"M_m01636c","D-4-phosphopantothenate"
"M_m02701c","peptide-3-hydroxy-L-aspartate"
"M_m02834c","retinol"
"M_m03066c","tRNA(asp)"
"M_m01503l","cholesterol-ester-ol"
"M_m00304c","11-trans-LTE4"
"M_m02967c","testosterone glucuronide"
"M_m00437c","1-acylglycerol-3P-10,13,16-docosa"
"M_m02700c","peptide-2-[3-carboxy-3-(methylammonio)propyl]-L-histidine"
"M_m01635c","D-3-hydroxyhexanoyl-[ACP]"
"M_m01768c","edaravone"
"M_m02833c","retinoate"
"M_m03065c","tRNA(asn)"
"M_m01502l","cholesterol-ester-nanode"
"M_m00438c","1-acylglycerol-3P-10-heptade"
"M_m00305c","12(13)-EpOME"
"M_m02966c","tauroursodeoxycholate"
"M_m01767c","ecgonine-methyl ester"
"M_m02832c","retinal"
"M_m01634c","D-3-hydroxydodecanoyl-[ACP]"
"M_m03064c","tRNA(arg)"
"M_gltdechol_s","Beta Glucan-Taurodeoxycholic Acid Complex"
"M_m01501l","cholesterol-ester-myrist"
"M_m00568c","2,2-dichloroacetaldehyde"
"M_m00302c","11-peroxy-(5Z,8Z,12E,14Z)-eicosatetraenoate"
"M_m02965c","taurolithocholate"
"M_m00435c","1a,11b-dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene"
"M_m01633c","D-3-amino-isobutanoate"
"M_m03063c","tRNA(ala)"
"M_doco13ecoa_c","13-Docosenoyl Coenzyme A"
"M_m01500l","cholesterol-ester-linolen"
"M_m00569c","2,3-bisphospho-D-glycerate"
"M_m00436c","1-acylglycerol-3P-10,13,16,19-doco"
"M_m01766r","ecgonine"
"M_m01899r","G10598"
"M_m00303c","11-peroxy-docosahexaenoate"
"M_m02964c","taurodeoxycholate"
"M_m01765c","ebastine"
"M_m01632c","cytosine"
"M_m03062c","tRNA containing N7-methylguanine"
"M_m01898r","G10597"
"M_m00300c","11-hydroxy-D4-neuroprostane"
"M_m00699c","3(S)-hydroxy-11-cis-docosenoyl-CoA"
"M_m02963c","taurocholate"
"M_m00433c","19-oxoandrostenedione"
"M_m00566c","2-(S-glutathionyl)acetyl glutathione"
"M_argcysgly_c","Arginyl-Cystinyl-Glycine"
"M_m01764c","dynorphin A-(6-8)"
"M_m03061c","tRNA containing N2-methylguanine"
"M_progly_c","L-Prolinylglycine"
"M_m01631m","cytochrome-C"
"M_m00434c","19-oxo-testosterone"
"M_m01897r","G10596"
"M_m00567c","2,2-dichloro-1,1-ethanediol"
"M_m00301c","11-hydroxy-E4-neuroprostane"
"M_m02962c","taurochenodeoxycholate"
"M_lysgluglu_c","Lysyl-Glutamyl-Glutamate"
"M_aspglupro_c","Aspartyl-Glutamyl-Proline"
"M_m00697m","3(S)-hydroxy-(6Z,9Z,12Z)-octadecatrienoyl-CoA"
"M_m01763c","dynorphin A-(1-8)"
"M_m01630c","cytidine"
"M_m03060c","tRNA containing 6-isopentenyladenosine"
"M_m01896r","G10595"
"M_m00564c","2(S)-pristanal"
"M_m02961c","taurine"
"M_m00431c","19-hydroxyandrostenedione"
"M_CN0018_c","Dibenzo[A,L]Pyrene-11,12-Diol"
"M_m02960g","T-antigen"
"M_m01895c","G10526"
"M_m01762c","dynorphin A-(1-5)"
"M_m00565c","2-(S-glutathionyl)acetyl chloride"
"M_m00432c","19-hydroxytestosterone"
"M_m00698c","3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA"
"M_tyrcysthr_c","Tyrosyl-Cysteinyl-Threonine"
"M_c6crn_c","Hexanoyl Carnitine"
"M_m00695m","3(S),8(S)-dihydroxy-(6E,10Z)-hexadecadienoate"
"M_m00562m","2(R),6-dimethyl-heptanoyl-CoA"
"M_sbcoa_c","Suberyl Coenzyme A"
"M_asnpheasp_c","Asparaginyl-Phenylalanyl-Aspartate"
"M_m01761c","D-xylulose-5-phosphate"
"M_ileglnglu_c","Isolecyl-Glutaminyl-Glutamate"
"M_m02219g","keratan sulfate I biosynthesis, precursor 26"
"M_m01760c","D-xylulose-1-phosphate"
"M_galacglcgalacglcgal14acglcgalgluside_hs_g","I-Antigen"
"M_m00696c","3(S)-hydroxy-(5Z,8Z)-tetradecadienoyl-CoA"
"M_m00430c","19(S)-HETE"
"M_m00563c","2(S),6-dimethyl-heptanoyl-CoA"
"M_m02218g","keratan sulfate I biosynthesis, precursor 25"
"M_m00693m","3(S),6(S)-dihydroxy-tetradec-(8Z)-enoate"
"M_bvite_c","Beta-Tocopherol"
"M_m01019c","4-nitrocatechol"
"M_m00560c","1-radyl-2-acyl-sn-glycero-3-phosphocholine"
"M_m02217g","keratan sulfate I biosynthesis, precursor 24"
"M_m00694m","3(S),8(R)-dihydroxy-(6E,10Z)-hexadecadienoate"
"M_6csmv_c","6'-beta-carboxy-simvastatin-lactone form"
"M_m00561c","2-(alpha-hydroxyethyl)thiamine-diphosphate"
"M_m02216g","keratan sulfate I biosynthesis, precursor 23"
"M_m00691c","3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA"
"M_m02349c","L-cystathionine"
"M_m00919c","3-sulfinylpyruvic acid"
"M_m01017m","4-methyl-trans-2-pentenoyl-CoA"
"M_xolest226_hs_c","Cholesteryl Docosahexanoate, Cholesterol-Ester (22:6, Delta 4,7,10,13,16,19)"
"M_micit_c","(2S,3R)-3-Hydroxybutane-1,2,3-Tricarboxylate"
"M_pmeth_s","Palmitoylethanolamide"
"M_m02215g","keratan sulfate I biosynthesis, precursor 22"
"M_pvs_c","pravastatin"
"M_m02348c","L-carnitine"
"M_m00692m","3(S),6(R)-dihydroxy-tetradec-(8Z)-enoate"
"M_m01018c","4-N-(n-acetyl-D-glucosaminyl)-protein"
"M_m02214g","keratan sulfate I biosynthesis, precursor 21"
"M_3bcrn_c","3-Hydroxy Butyryl Carnitine"
"M_m02347c","lc4Cer"
"M_m01015m","4-methyl-pentanoyl-CoA"
"M_m01148m","6(S)-hydroxy-tetradeca-(2E,8Z)-dienoate"
"M_m00917c","3-succinoylpyridine"
"M_hexdectecoa_m","2,4,7,10-Hexadecatetraenoyl Coenzyme A"
"M_argalaphe_c","Arginyl-Alanine-Phenylalanine"
"M_m00916c","3-phosphoserine"
"M_lstn_c","Losartan"
"M_m00690c","3(S),12(S)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA"
"M_m02346c","lc3Cer"
"M_m02479c","methylmalonate"
"M_m00918c","3-sulfinoalanine"
"M_m01149m","6(S)-hydroxy-tetradeca-(4E,8Z)-dienoate"
"M_glyhisasn_c","Glycyl-Histidyl-Asparagine"
"M_m01016c","4-methylthio-2-oxobutanoic acid"
"M_m02213g","keratan sulfate I biosynthesis, precursor 20"
"M_m02345c","lauroyl-CoA"
"M_temp001c","biomass"
"M_m02478c","methyl-indole-3-acetate"
"M_m01146m","6(R)-hydroxy-tetradeca-(4E,8Z)-dienoate"
"M_m01013c","4-methyl-2-oxopentanoate"
"M_m00914c","3-phosphonooxypyruvate"
"M_m01279c","adenine"
"M_6ohfvs_c","6-hydroxy-fluvastatin"
"M_m02212g","keratan sulfate I biosynthesis, precursor 2"
"M_ptvstm3_c","pitavastatin-M3"
"M_m02344c","lauric acid"
"M_m02477c","methylimidazoleacetic acid"
"M_m01147m","6(S)-hydroxy-tetradeca-(2E,4E,8Z)-trienoate"
"M_CE6027_c","24,25,26,27-Tetranor-23-Oxo-Hydroxyvitamin D3"
"M_m01014c","4-methylpentan-1-ol"
"M_m00915c","3-phosphopolynucleotide"
"M_m02211g","keratan sulfate I biosynthesis, precursor 19"
"M_m02476c","methylimidazole-acetaldehyde"
"M_pheleuasp_c","Phenylalanyl-Leucyl-Aspartate"
"M_m02343c","lathosterol"
"M_m01144m","6(R)-hydroxy-tetradeca-(2E,4E,8Z)-trienoate"
"M_m01011c","4-methoxy-17beta-estradiol"
"M_m01277c","acyl-CoA-LD-TG3 pool (liver tissue)"
"M_m00079p","(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA"
"M_m00912c","3-phosphoadenylylselenate"
"M_aspasnglu_c","Aspartyl-Asparaginyl-Glutamate"
"M_m02210g","keratan sulfate I biosynthesis, precursor 18"
"M_m02342c","L-aspartyl-tRNA(asp)"
"M_m02475c","methylglyoxal"
"M_cdca24g_c","Chenodeoxycholic acid-24glucuronide, CDCA-24G"
"M_m01145m","6(R)-hydroxy-tetradeca-(2E,8Z)-dienoate"
"M_m00913c","3-phospho-D-glycerate"
"M_m01278c","acylglycerone-phosphate"
"M_m01012c","4-methoxyestrone"
"M_acile_L_c","Acetyl Isoleucine (Chemspider Id: 9964364)"
"M_m01142r","6-(alpha-D-glucosaminyl)-1D-myo-inositol"
"M_m02474c","methylarsonate"
"M_m01275c","acyl-CoA-LD-SM pool (liver tissue)"
"M_m00077p","(2R,6S,10S)-pristanate"
"M_m00910c","3-oxoundecanoyl-[ACP]"
"M_m02341c","L-asparaginyl-tRNA(asn)"
"M_m01010c","4-maleylacetoacetate"
"M_m01276c","acyl-CoA-LD-TG2 pool (liver tissue)"
"M_m01143c","6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol"
"M_m00078p","(2S)-pristanoyl-CoA"
"M_m00911m","3-oxoundecanoyl-CoA"
"M_m02340c","L-arginyl-tRNA(arg)"
"M_m02473c","methylamine"
"M_hisglnala_c","Histidyl-Glutaminyl-Alanine"
"M_m01140c","5-S-glutathionyl-noradrenochrome hydroquinone"
"M_m01273c","acyl-CoA-LD-PI pool (liver tissue)"
"M_docosdiac_c","Docosanedioicacid"
"M_m02472c","methionyl-peptide"
"M_m00075c","(2R)-pristanoyl-CoA"
"M_glyleu_c","Glycylleucine"
"M_m01274c","acyl-CoA-LD-PS pool (liver tissue)"
"M_m01141c","5-tetradecenoyl-CoA"
"M_m00076p","(2R,6R,10R)-trimethyl-hendecanoyl-CoA"
"M_m02471c","methionine"
"M_m01271c","acyl-CoA-LD-PC pool (liver tissue)"
"M_m00073m","(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA"
"M_trpglutyr_c","Tryptophanyl-Glutamyl-Tyrosine"
"M_lstnm7_c","Losartan-N2-glucuronide / Losartan-M7"
"M_m02470c","methanol"
"M_m01272c","acyl-CoA-LD-PE pool (liver tissue)"
"M_atvacylgluc_r","atorvastatin-acyl-glucuronide / G2"
"M_crvsm31_c","cerivastatin-M31"
"M_m02829c","reduced vitamin K"
"M_m00074c","(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA"
"M_m02828c","reduced ferredoxin"
"M_m00071m","(2E)-undecenoyl-CoA"
"M_m01629c","cystine"
"M_c12dccoa_c","Dodecanedioyl Coenzyme A"
"M_m01270c","acyl-CoA-CL pool (liver tissue)"
"M_m02827c","reduced adrenal ferredoxin"
"M_m00072m","(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA"
"M_2hatvacidgluc_c","2-hydroxy-atorvastatin-acyl-glucuronide"
"M_m03059c","tRNA containing 5-methylaminomethyl-2-thiouridylate"
"M_lyscyshis_c","Lysyl-Cysteinyl-Histidine"
"M_hexdiac_c","Hexadecanediocacid"
"M_m01628c","cysteine"
"M_caribupglu_S_c","S-carboxy ibuprofen glucuronide"
"M_m02826c","rac-5,6-epoxy-retinoyl-beta-D-glucuronide"
"M_m02959c","TAG-VLDL pool"
"M_m03058c","tRNA containing 5-aminomethyl-2-thiouridine"
"M_3hadicoa_p","3-Hydroxy-Adipoyl Coenzyme A"
"M_56eppvs_c","5,6-epoxy-3-alpha-iso-pravastatin"
"M_m00429m","18-hydroxycorticosterone"
"M_m01627c","cysteamine"
"M_m02825c","rac-4-hydroxy-4-O-(beta-D-glucuronide)-all-trans-retinyl-acetate"
"M_trpglngln_c","Tryptophanyl-Glutaminyl-Glutamine"
"M_gudca3s_c","Glycoursodeoxycholic acid 3-sulfate"
"M_m02958c","TAG-LD pool"
"M_m03057c","triphosphate"
"M_m00070c","(2E)-undecenoyl-[ACP]"
"M_glyphe_c","Glycyl-Phenylalanine"
"M_m01626c","cys-gly"
"M_m01759c","D-xylulose"
"M_m02957s","TAG-extraction"
"M_m02824c","rac-4-hydroxy-4-O-(beta-D-glucuronide)-all-trans-retinoate"
"M_m03056c","trioxilin B3"
"M_m00427c","18-hydroxy-all-trans-retinoate"
"M_m01758c","D-xylose"
"M_m01625c","cyclic-3-hydroxymelatonin"
"M_m02823c","quinonoid dihydrobiopterin"
"M_m03055c","trioxilin A3"
"M_melanin_c","Melanin"
"M_m00428c","18-hydroxy-arachidonate"
"M_m02956c","TAG-chylomicron pool"
"M_m00425p","18-COOH-LTE4"
"M_m01624c","Cu2+"
"M_m01757c","D-xylonolactone"
"M_m02822c","quinolinate"
"M_m03054c","trimethylamine-N-oxide"
"M_6hsmvacid_c","6'-beta-hydroxy simvastatin acid"
"M_isochol_c","Isochenodeoxycholic acid; 3beta,7alpha,12alpha-Trihydroxy-5beta-cholanic acid"
"M_3dhcdchol_c","3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid"
"M_m00558c","1-pyrroline-2-carboxylate"
"M_m02955c","tagatose-1,6-bisphosphate"
"M_m01756c","dUTP"
"M_m02821c","quinidine"
"M_m01623c","CTP"
"M_m03053c","trimethylamine"
"M_3tetd7ecoa_c","3-Hydroxy Tetradecenoyl-7 Coenzyme A"
"M_3hglutcoa_m","3-Hydroxy-Glutaryl Coenzyme A"
"M_CE5120_m","Trans-2-Cis-8-Tetradecadienoyl Coenzyme A"
"M_trpglugly_c","Tryptophanyl-Glutamyl-Glycine"
"M_m00426c","18-HETE"
"M_m00559c","1-pyrroline-5-carboxylate"
"M_m02954c","TAG epoxide"
"M_trpthrtyr_c","Tryptophanyl-Threonyl-Tyrosine"
"M_atvlac_c","atorvastatin-lactone"
"M_m02820c","queuine"
"M_m00423p","18-COOH-(16E)-dinor-LTE5-CoA"
"M_m01755c","dUMP"
"M_m03052c","triiodothyronine"
"M_CE5013_c","14-Hydroxy-4,14-Retro-Retinol"
"M_m01622m","crotonyl-CoA"
"M_m00689c","3(S),12(R)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA"
"M_m02953c","tachysterol 3"
"M_m00556c","1-piperideine-6-carboxylate"
"M_m00424m","18-COOH-LTB4"
"M_leutrp_c","Leucyl-Tryptophan"
"M_m01754c","dUDP"
"M_m01887c","G00086"
"M_m01621c","creatinine"
"M_m03051c","tridecylic acid"
"M_m00557c","1-pyrroline"
"M_m02952c","sulfotaurolithocholate"
"M_m01886c","G00085"
"M_argleuphe_c","Arginyl-Leucyl-Phenylalanine"
"M_m01620c","creatine-phosphate"
"M_m01753c","dTTP"
"M_m03050c","tridecanoyl-CoA"
"M_m00554c","1-phosphatidyl-1D-myo-inositol-5-phosphate"
"M_m00421c","18-CoA-18-oxo-dinor-LTB4"
"M_m02951c","sulfoglycolithocholate"
"M_m00687c","3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate"
"M_fucfuc12gal14acglcgalgluside_hs_c","Ley Glycolipid"
"M_tyrglu_c","Tyrosyl-Glutamate"
"M_m00422p","18-COOH-(15E)-dinor-LTE4-CoA"
"M_m01752c","dTMP"
"M_m01885c","G00084"
"M_m00688c","3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA"
"M_m00555c","1-phosphatidyl-myo-inositol-3,5-bisphosphate"
"M_m02950c","sulfochenodeoxycholate"
"M_m00685p","3(R)-hydroxy-(2S,6R,10)-trimethyl-hendecanoyl-CoA"
"M_m01884c","G00083"
"M_m01751c","dTDP-glucose"
"M_lysglnphe_c","Lysyl-Glutaminyl-Phenylalanine"
"M_methsucc_c","Methyl-Succinate"
"M_m00552c","1-phosphatidyl-1D-myo-inositol-3-phosphate"
"M_ttetddcoa_m","Trans5,8Tetradecadienoyl Coenzyme A"
"M_m00686p","3(R)-hydroxy-(4R,8R,12R)-trimethyl-tridecanoyl-CoA"
"M_m02209g","keratan sulfate I biosynthesis, precursor 17"
"M_m01750c","dTDP-galactose"
"M_proproarg_c","Prolyl-Prolyl-Arginine"
"M_m01883c","G00082"
"M_m00553c","1-phosphatidyl-1D-myo-inositol-4-phosphate"
"M_m00420c","18,20-dioxo-20-CoA-LTB4"
"M_tddedicoa_m","Trans3,6Dodecadienoyl Coenzyme A"
"M_m02208g","keratan sulfate I biosynthesis, precursor 16"
"M_m00550p","1-palmitoyl-dihydroxyacetone-phosphate"
"M_m01882c","G00081"
